ad_ed	total	reporting	candidate|Julia Salazar	candidate|Andy J. Marte	candidate|Write-In	absentee|Andy J. Marte	absentee|Julia Salazar	absentee|Write-In
55-054	10	99.00%	8	2	0	0	3	0
55-112	0	99.00%	0	0	0	0	0	0
56-001	79	99.00%	60	18	1	4	8	0
56-002	95	99.00%	66	29	0	5	13	0
56-003	74	99.00%	59	15	0	0	13	0
56-004	85	99.00%	71	14	0	1	9	0
56-006	134	99.00%	105	29	0	4	26	0
56-007	80	99.00%	62	18	0	6	6	0
56-008	105	99.00%	73	31	1	5	11	0
56-009	95	99.00%	71	22	2	3	15	0
56-010	82	99.00%	59	22	1	2	8	0
56-011	168	99.00%	147	16	5	5	59	0
56-017	139	99.00%	114	23	2	0	45	0
56-020	90	99.00%	70	18	2	2	31	0
56-092	8	99.00%	5	3	0	0	4	0
60-006	47	99.00%	32	15	0	2	8	0
60-010	64	99.00%	51	12	1	1	3	0
60-011	0	99.00%	0	0	0	0	0	0
60-016	57	99.00%	43	14	0	2	8	0
60-018	51	99.00%	34	17	0	2	7	1
60-019	49	99.00%	38	11	0	5	6	2
60-020	16	99.00%	12	4	0	2	12	0
