ad_ed	total	reporting	candidate|Jabari Brisport	candidate|Tremaine S. Wright	candidate|Jason Salmon	candidate|Write-In	absentee|Jabari Brisport	absentee|Jason Salmon	absentee|Tremaine S. Wright	absentee|Write-In
57-018	217	99.00%	80	104	32	1	72	17	70	0
57-019	81	99.00%	27	40	4	10	15	3	4	0
57-020	0	99.00%	0	0	0	0	0	0	0	0
57-021	161	99.00%	114	41	6	0	105	6	13	0
57-022	151	99.00%	79	60	8	4	79	7	14	1
57-023	23	99.00%	20	3	0	0	27	3	3	0
57-024	169	99.00%	100	36	33	0	118	11	38	0
57-025	232	99.00%	153	60	19	0	163	20	64	0
57-026	180	99.00%	123	34	23	0	141	25	31	0
57-027	40	99.00%	27	9	4	0	164	23	43	0
57-028	44	99.00%	20	10	14	0	161	35	46	0
57-029	86	99.00%	43	21	22	0	169	49	68	0
57-030	199	99.00%	49	91	59	0	31	14	23	0
57-031	333	99.00%	112	186	35	0	57	10	52	0
57-032	92	99.00%	34	45	13	0	1	3	4	0
57-033	73	99.00%	35	28	10	0	2	0	4	0
57-034	87	99.00%	45	33	9	0	198	26	93	0
57-035	42	99.00%	25	14	3	0	185	26	87	0
57-036	184	99.00%	128	45	11	0	121	14	26	0
57-037	135	99.00%	97	31	7	0	83	8	16	0
57-038	193	99.00%	146	36	11	0	163	12	42	0
57-039	43	99.00%	16	18	9	0	233	17	83	0
57-040	53	99.00%	32	10	11	0	191	31	64	0
57-041	45	99.00%	32	8	5	0	241	19	81	1
57-042	44	99.00%	27	8	9	0	157	38	70	0
57-043	208	99.00%	148	40	20	0	146	41	53	0
57-044	184	99.00%	98	73	13	0	75	8	34	0
57-045	183	99.00%	89	75	19	0	44	10	42	0
57-046	151	99.00%	66	55	30	0	25	6	18	0
57-047	95	99.00%	70	22	3	0	98	7	28	0
57-048	210	99.00%	137	63	10	0	97	14	46	0
57-049	219	99.00%	145	58	16	0	123	11	20	0
57-050	159	99.00%	107	45	6	1	104	13	21	0
57-051	170	99.00%	115	50	5	0	98	9	26	0
57-052	122	99.00%	82	36	4	0	55	2	15	0
57-053	172	99.00%	94	61	17	0	43	9	16	0
