ad_ed	total_reg_dems	absentee_requested
85-082	443	42
85-083	447	50
85-084	738	72
85-085	414	33
86-001	565	66
86-002	952	109
86-003	684	85
86-004	548	60
86-005	528	83
86-006	660	153
86-007	653	137
86-008	877	159
86-009	918	90
86-010	542	64
86-011	764	140
86-012	825	92
86-013	796	86
86-014	746	87
86-015	871	77
86-016	803	89
86-017	816	107
86-021	132	28
86-022	768	76
86-023	622	90
86-024	661	63
86-025	838	68
86-026	814	116
86-027	679	77
86-028	807	88
86-029	853	141
86-030	713	79
86-031	715	76
86-032	774	150
86-033	826	190
86-034	783	209
86-035	629	57
86-036	791	115
86-037	613	67
86-038	811	62
86-039	600	92
86-040	845	124
86-041	690	72
86-042	12	
86-043	194	11
86-044	388	22
86-045	970	124
86-046	894	95
86-047	870	108
86-048	607	67
86-049	551	58
86-050	897	109
86-051	800	80
86-052	839	102
86-053	654	84
86-054	542	45
86-055	773	101
86-056	823	95
86-057	799	96
86-058	673	68
86-059	640	89
86-060	79	11
86-062	525	63
86-063	841	118
86-064	896	108
86-065	415	45
86-066	748	80
86-067	703	65
86-068	390	68
86-069	713	107
86-070	473	58
86-071	503	67
86-072	446	50
87-001	122	16
87-002	709	64
87-003	407	29
87-004	835	93
87-005	600	62
87-006	885	85
87-007	604	43
87-008	617	71
87-009	727	82
87-010	794	85
87-011	789	105
87-012	286	45
87-013	221	19
87-014	347	37
87-015	221	19
87-016	247	26
87-017	302	29
87-021	132	16
87-022	416	65
87-023	518	56
87-024	405	52
87-025	317	42
87-026	910	78
87-027	582	43
87-028	828	135
87-029	545	72
87-030	244	28
87-031	544	56
87-032	671	86
87-033	622	53
87-034	702	62
87-035	742	83
87-036	728	67
87-037	781	108
87-038	488	55
87-039	819	116
87-040	741	107
87-041	592	75
87-042	805	124
87-063	71	10
87-070	735	60
87-071	492	50
87-072	551	65
87-073	203	4
87-074	710	83
87-075	594	77
87-076	639	68
87-077	811	98
87-078	779	93
87-079	222	26
87-080	609	50
87-081	554	88
87-082	474	50
87-083	67	1
87-084	547	51
87-085	826	102
87-086	854	112
87-087	764	149
87-088	647	45
87-089	718	49
87-090	0	0
87-091	0	0
87-092	0	0
87-095	0	0
87-096	360	55
87-097	703	76
87-098	776	91
87-102	713	62
