ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Tomas Ramos	candidate|Samelys López	candidate|Frangell Basora	candidate|Melissa Mark-Viverito	candidate|Michael A. Blake	candidate|Rubén Díaz	candidate|Mark Escoffery-Bey	candidate|Ritchie Torres	candidate|Chivona R. Newsome	candidate|Ydanis Rodriguez	candidate|Julio Pabón	candidate|Marlene J. Tapper	candidate|Write-In
85-041	591	55	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
85-042	696	84	1	99.00%	0	0	0	0	0	0	0	1	0	0	0	0	0
85-043	775	80	97	99.00%	4	10	1	8	9	22	0	27	1	14	1	0	0
85-044	752	76	73	99.00%	1	5	0	2	16	20	0	23	0	4	1	1	0
85-045	768	72	58	99.00%	0	15	0	1	6	14	0	15	0	6	1	0	0
85-046	538	61	78	99.00%	3	8	0	4	17	13	0	25	1	7	0	0	0
85-047	740	70	47	99.00%	1	3	0	0	8	9	0	20	0	6	0	0	0
85-048	896	97	126	99.00%	3	15	0	6	18	27	0	43	0	12	2	0	0
85-049	825	72	2	99.00%	0	0	0	0	1	0	0	0	0	1	0	0	0
85-050	860	111	2	99.00%	0	0	0	0	0	0	0	1	0	1	0	0	0
85-051	827	97	3	99.00%	0	0	0	0	0	0	0	1	0	2	0	0	0
85-052	919	87	110	99.00%	6	18	0	6	10	30	1	34	0	4	1	0	0
85-053	886	95	96	99.00%	1	8	0	5	13	19	0	33	1	12	3	0	1
85-054	910	107	104	99.00%	3	20	1	9	20	22	0	27	0	2	0	0	0
85-055	874	74	150	99.00%	4	25	2	6	20	29	1	42	1	18	0	0	2
85-056	437	42	93	99.00%	11	6	0	7	11	18	0	37	2	1	0	0	0
85-057	562	65	76	99.00%	1	13	0	1	17	11	0	24	3	6	0	0	0
85-058	846	118	136	99.00%	1	24	0	1	11	29	1	46	2	21	0	0	0
85-059	691	64	95	99.00%	4	16	0	3	16	17	0	31	1	7	0	0	0
85-060	579	74	81	99.00%	2	8	0	2	4	16	0	34	2	12	0	0	1
85-061	450	43	156	99.00%	10	24	2	6	13	33	0	50	1	16	1	0	0
85-062	860	92	9	99.00%	0	0	0	1	1	1	0	4	0	2	0	0	0
85-063	712	79	78	99.00%	2	11	0	9	2	18	0	29	1	3	0	3	0
85-064	835	61	96	99.00%	3	19	0	7	12	20	1	25	2	7	0	0	0
85-065	815	83	117	99.00%	3	21	0	5	6	28	0	41	4	8	0	1	0
85-066	617	64	55	99.00%	2	5	0	4	8	10	0	20	0	6	0	0	0
85-067	775	65	109	99.00%	8	17	0	4	24	13	0	32	0	10	0	1	0
85-068	801	121	94	99.00%	13	17	0	0	11	20	1	25	0	4	1	1	1
85-069	841	84	139	99.00%	27	11	0	2	13	23	0	52	1	9	0	1	0
